phrase_name,tag_CK,count_CK,tag_j,count_j,total_count_CK,total_count_j,modified_count,modified_tag
一柱擎天,VH11,4,n,3,4,3,3,n
一概,Dab,40,d,467,40,467,82,d
一概不理,VI1,0,i,3,0,3,0,i
一概而論,VB12,5,i,49,5,49,9,i
一模一樣,VH11,33,l,591,33,591,88,l
一樣,"Ng, VH11","0, 2619",r,22569,2619,22569,6870,r
一步法,Nad,0,l,3,0,3,0,l
一步登天,VA13,4,i,41,4,41,7,i
一毛不拔,VH11,0,i,14,0,14,1,i
一氣呵成,VH11,8,i,84,8,84,15,i
一氧化物,Naa,0,n,3,0,3,0,n
一氧化碳,Naa,0,nz,191,0,191,19,nz
一氧化鉛,Naa,0,nz,2,0,2,0,nz
一決雌雄,VA4,1,l,28,1,28,3,l
一波三折,VH11,3,i,34,3,34,6,i
一波又起,VH11,1,i,22,1,22,3,i
一波未平,VH11,1,i,24,1,24,3,i
一派胡言,Nad,2,l,23,2,23,4,l
一流,VH11,104,n,1366,104,1366,230,n
一清二楚,VH11,13,l,321,13,321,43,l
一清二白,VH11,2,l,5,2,5,2,l
一溜煙,Dd,6,d,108,6,108,16,d
一瀉千里,VH11,4,i,17,4,17,5,i
一炮而紅,VH11,8,l,3,8,3,7,l
一無所得,VH11,1,i,14,1,14,2,i
一無所恃,VH11,0,i,3,0,3,0,i
一無所有,VH11,15,i,158,15,158,29,i
一無所獲,VH11,5,i,84,5,84,12,i
一無所知,VI2,22,i,218,22,218,41,i
一無所長,VH11,1,i,8,1,8,1,i
一無是處,VH11,8,l,37,8,37,10,l
一生,Nad,415,m,3488,415,3488,722,m
一男半女,Naea,0,l,6,0,6,0,l
一病不起,VH11,1,i,42,1,42,5,i
一瘸一拐,Dh,4,v,3,4,3,3,v
一目十行,VA13,3,i,10,3,10,3,i
一目瞭然,VH21,8,i,165,8,165,23,i
一直,Dd,1951,d,18596,1951,18596,3615,d
一相情願,VH11,2,i,8,2,8,2,i
一眨眼,Dd,3,i,3,3,3,3,i
一瞬間,Ndabe,0,m,219,0,219,21,m
一瞻丰采,VA4,0,i,3,0,3,0,i
一知半解,VI2,7,i,57,7,57,12,i
一石二鳥,VH11,1,i,23,1,23,3,i
一石兩鳥,VH11,1,i,3,1,3,1,i
一神教,Nad,3,nz,11,3,11,3,nz
一神論,Nad,0,i,3,0,3,0,i
一窩蜂,Dh,23,d,114,23,114,32,d
一窩風,Dh,0,l,2,0,2,0,l
一窮二白,VH11,1,i,22,1,22,3,i
一竅不通,VI2,2,i,128,2,128,14,i
一笑置之,VA4,8,i,30,8,30,10,i
一筆勾銷,VB12,4,i,83,4,83,11,i
一筆抹煞,VC2,0,i,7,0,7,0,i
一箭雙鵰,VA4,0,"i, nz","43, 3",0,46,"4, 0","i, nz"
一籌,b,0,j,113,0,113,11,j
一籌莫展,VH21,7,i,117,7,117,18,i
一統,VC2,6,n,208,6,208,26,n
一統天下,VA4,0,l,76,0,76,7,l
一絲一毫,Neqa,7,m,67,7,67,13,m
一絲不掛,VH11,5,i,60,5,60,10,i
一絲不苟,VH11,9,i,112,9,112,19,i
一經,P26,22,d,563,22,563,76,d
一網打盡,VB2,3,i,103,3,103,13,i
一聲不響,VH11,5,l,181,5,181,22,l
一聲令下,VA4,15,l,146,15,146,28,l
一肚子氣,Nad,0,l,3,0,3,0,l
一股勁兒,Dh,1,n,28,1,28,3,n
一股腦兒,Dh,2,l,34,2,34,5,l
一脈相傳,VH11,5,l,8,5,8,5,l
一臂之力,Nad,8,i,120,8,120,19,i
一致,VH11,335,d,5406,335,5406,842,d
一致性,Nad,38,n,140,38,140,48,n
一舉,Dh,49,d,848,49,848,128,d
一舉一動,Nad,18,i,190,18,190,35,i
一舉兩得,VH11,20,i,67,20,67,24,i
一舉成名,VH11,5,i,204,5,204,24,i
一般,"A, Dbb, Ng, VH11","1491, 495, 240, 78",a,30311,2304,30311,14198,a
一般來說,Dk,76,l,146,76,146,83,l
一般化,VH16,2,l,21,2,21,3,l
一般性,Nad,50,l,86,50,86,53,l
一般而言,Dk,97,l,37,97,37,91,l
一般見識,VA4,1,l,128,1,128,13,l
一草一木,Naea,11,i,35,11,35,13,i
一落千丈,VH11,16,i,51,16,51,19,i
一葉知秋,VH11,0,i,4,0,4,0,i
一表人材,VH11,1,n,4,1,4,1,n
一見傾心,VH11,3,i,10,3,10,3,i
一見如故,VH11,5,i,67,5,67,11,i
一見鍾情,VH11,10,"i, nr","62, 4",10,66,"13, 2","i, nr"
一視同仁,VI1,18,i,125,18,125,28,i
一親芳澤,VA4,1,nr,3,1,3,1,nr
一覽無遺,VH11,5,i,8,5,8,5,i
一覽無餘,VH11,0,i,45,0,45,4,i
一覽表,Nab,2,n,41,2,41,5,n
一角,Nce,21,m,491,21,491,68,m
一觸即爆,VH11,1,l,3,1,3,1,l
一觸即發,VH11,14,i,117,14,117,24,i
一言一行,Naea,4,i,68,4,68,10,i
一言不合,VH11,4,i,3,4,3,3,i
一言九鼎,VH11,0,i,34,0,34,3,i
一言以蔽之,Dk,12,i,17,12,17,12,i
一言堂,Ncb,0,i,14,0,14,1,i
一言既出,VH11,1,i,66,1,66,7,i
一言為定,VA4,6,l,63,6,63,11,l
一言難盡,VH11,1,i,56,1,56,6,i
一語不發,VH11,1,i,3,1,3,1,i
一語道破,VC2,7,i,38,7,38,10,i
一語雙關,VH11,1,l,5,1,5,1,l
一誤再誤,VH11,0,l,3,0,3,0,l
一諾千金,VH11,3,l,15,3,15,4,l
一貧如洗,VH11,1,i,31,1,31,4,i
一貫,A,91,m,1030,91,1030,184,m
一貫下來,Dd,0,i,3,0,3,0,i
一貫性,Nad,11,n,41,11,41,14,n
一貫道,Nba,5,m,3,5,3,4,m
一走了之,VA11,5,i,78,5,78,12,i
一起,Dh,1020,m,15976,1020,15976,2515,m
一路,Dg,201,m,2921,201,2921,473,m
一路上,Dg,3,l,762,3,762,78,l
一路福星,VH11,0,nr,3,0,3,0,nr
一路順車,VA4,1,l,3,1,3,1,l
一蹴可及,VH11,1,i,3,1,3,1,i
一蹴而及,VH11,0,i,3,0,3,0,i
一蹶不振,VH11,7,i,87,7,87,15,i
一身是膽,VH11,0,i,3,0,3,0,i
一較高下,VA4,2,l,3,2,3,2,l
一逕,Dh,9,vn,3,9,3,8,vn
一連,Dh,73,d,569,73,569,122,d
一連串,A,153,n,347,153,347,172,n
一道,Dh,15,m,3879,15,3879,401,m
一邊,Dh,330,d,7114,330,7114,1008,d
一針見血,VH11,15,i,71,15,71,20,i
一錢不值,VH11,1,l,46,1,46,5,l
一錯再錯,VH11,2,i,3,2,3,2,i
一陣子,Ndabf,0,m,437,0,437,43,m
一隅,Nce,21,n,663,21,663,85,n
一雨成秋,VH11,0,i,3,0,3,0,i
一霎時,Dd,0,t,44,0,44,4,t
一霎眼,Dd,0,t,3,0,3,0,t
一面,Dd,262,m,6773,262,6773,913,m
一面之交,Nad,0,i,14,0,14,1,i
一面之緣,Nad,1,i,41,1,41,5,i
一面之詞,Nad,0,i,26,0,26,2,i
一面倒,VH11,8,d,3,8,3,7,d
一頭霧水,VH11,9,l,3,9,3,8,l
一顰一笑,Nad,0,l,28,0,28,2,l
一飯一啄,VA4,0,i,3,0,3,0,i
一飯千金,VA4,0,l,3,0,3,0,l
一飲一啄,VA4,0,i,3,0,3,0,i
一飲而盡,VB2,5,i,3,5,3,4,i
一馬當先,VA11,8,i,65,8,65,13,i
一骨碌,Dh,1,d,61,1,61,7,d
一體,Nad,94,n,1526,94,1526,237,n
一髮千鈞,VH11,0,i,3,0,3,0,i
一鱗半爪,Nad,0,i,14,0,14,1,i
一鳴驚人,VH11,8,i,33,8,33,10,i
一點,"Dfb, Ndabe, Neqa","496, 0, 807",m,14165,1303,14165,5422,m
一點一滴,Nad,27,m,78,27,78,32,m
一點兒,Neqa,120,m,1058,120,1058,213,m
一鼓作氣,VA4,2,i,88,2,88,10,i
一鼻孔出氣,VA4,0,i,11,0,11,1,i
一齊,Dh,44,d,2769,44,2769,316,d
丁,"Nbc, Neu","14, 17",nr,3607,31,3607,749,nr
丁二烯,Naa,0,nr,46,0,46,4,nr
丁字尺,Nab,0,nr,3,0,3,0,nr
丁憂,Nad,0,nr,21,0,21,2,nr
丁烷,Naa,0,nr,44,0,44,4,nr
丁當,Dh,0,o,30,0,30,3,o
丁艱,Nad,0,nr,3,0,3,0,nr
丁香,Naa,16,nr,132,16,132,27,nr
七,Neu,1088,m,7675,1088,7675,1746,m
七七,"Nba, Ndabd","1, 0",m,41,1,41,9,m
七七事變,Nba,0,nz,69,0,69,6,nz
七上八下,VH11,7,m,111,7,111,17,m
七俠五義,Nba,2,nz,9,2,9,2,nz
七出,Nad,0,m,17,0,17,1,m
七古,Nac,0,ns,3,0,3,0,ns
七嘴八舌,VA4,15,i,114,15,114,24,i
七堵,Nca,1,m,2,1,2,1,m
七夕,Ndabd,0,t,37,0,37,3,t
七巧板,Nab,2,n,11,2,11,2,n
七彩,Nad,14,nz,58,14,58,18,nz
七彩繽紛,VH11,1,i,3,1,3,1,i
七律,Nac,0,n,71,0,71,7,n
七情,Nad,1,n,46,1,46,5,n
七情六慾,Nad,6,i,44,6,44,9,i
七手八腳,VH11,1,i,58,1,58,6,i
七扭八歪,VH11,0,i,3,0,3,0,i
七折八扣,VA4,2,i,3,2,3,2,i
七拼八湊,Dh,0,i,3,0,3,0,i
七星,Nba,1,nz,172,1,172,18,nz
七星山,Nca,8,ns,3,8,3,7,ns
七竅,Naea,1,n,56,1,56,6,n
七竅生煙,VH11,2,i,17,2,17,3,i
七絃琴,Nab,1,"i, nz","24, 3",1,27,"2, 0","i, nz"
七絕,Nac,0,ns,69,0,69,6,ns
七美,Nca,0,nz,9,0,9,0,nz
七老八十,VH11,1,i,10,1,10,1,i
七色,Nad,8,n,3,8,3,7,n
七色板,Nab,0,n,3,0,3,0,n
七言律詩,Nac,2,n,3,2,3,2,n
七言絕句,Nac,6,i,3,6,3,5,i
七言詩,Nac,1,l,29,1,29,3,l
七里香,Nab,1,nr,3,1,3,1,nr
七雄,Naea,0,ns,3,0,3,0,ns
七零八落,VH11,4,i,205,4,205,24,i
七音,Nad,0,nz,3,0,3,0,nz
七顛八倒,VH11,0,i,11,0,11,1,i
丈,Nfg,52,n,1039,52,1039,150,n
丈二和尚,Nab,1,n,3,1,3,1,n
丈人,Nab,6,n,143,6,143,19,n
丈夫,Nab,367,n,4283,367,4283,758,n
丈母,Nab,0,n,53,0,53,5,n
丈量,VC2,1,n,206,1,206,21,n
三,Neu,6953,m,42542,6953,42542,10511,m
三一學院,Ncb,0,nz,3,0,3,0,nz
三三兩兩,Dh,11,m,70,11,70,16,m
三不朽,Naea,0,i,3,0,3,0,i
三不管,A,6,l,5,6,5,5,l
三五成群,VH11,14,m,189,14,189,31,m
三令五申,VE2,1,i,54,1,54,6,i
三伏,Ndabf,0,j,22,0,22,2,j
三位一體,Nad,6,l,137,6,137,19,l
三光,Naea,1,nz,18,1,18,2,nz
三八,VH11,12,m,50,12,50,15,m
三分法,Nad,0,n,3,0,3,0,n
三十而立,VH11,8,i,17,8,17,8,i
三叉骨,Nab,0,n,3,0,3,0,n
三合,Naea,3,j,876,3,876,90,j
三合土,Naa,0,n,2,0,2,0,n
三合會,Nba,1,nt,19,1,19,2,nt
三國,Ndaaa,0,ns,1063,0,1063,106,ns
三國演義,Nba,8,nz,194,8,194,26,nz
三國鼎立,VH11,0,nz,3,0,3,0,nz
三壘手,Nab,3,n,3,3,3,3,n
三多,Naea,0,m,15,0,15,1,m
三天兩頭,Dd,9,m,79,9,79,16,m
三夾板,Nab,2,n,3,2,3,2,n
三姑六婆,Naeb,2,nr,3,2,3,2,nr
三姓,Nca,0,n,21,0,21,2,n
三字經,Nab,17,l,40,17,40,19,l
三寸丁,Nab,0,i,3,0,3,0,i
三寸不爛之舌,Nab,5,i,26,5,26,7,i
三寸舌,Nab,0,i,3,0,3,0,i
三寸金蓮,Nab,3,nr,3,3,3,3,nr
三山五嶽,Naeb,0,ns,10,0,10,1,ns
三岔口,Ncc,0,ns,24,0,24,2,ns
三峽,Nca,108,ns,3095,108,3095,406,ns
三年五載,Dd,0,m,24,0,24,2,m
三從四德,Nad,1,nr,23,1,23,3,nr
三心二意,VH21,0,i,56,0,56,5,i
三思,VA4,14,n,102,14,102,22,n
三思而後行,VA4,0,i,23,0,23,2,i
三思而行,VA4,2,i,30,2,30,4,i
三態,Naea,0,n,9,0,9,0,n
三才,Naea,1,t,64,1,64,7,t
三教九流,Naea,6,l,43,6,43,9,l
三族,Naea,0,nz,3,0,3,0,nz
三明治,Nab,25,nz,39,25,39,26,nz
三星,Nca,17,nz,363,17,363,51,nz
三晉,Naea,2,j,85,2,85,10,j
三更半夜,Ndabe,0,i,40,0,40,4,i
三朝元老,Nab,0,nr,15,0,15,1,nr
三極,Naea,0,ns,16,0,16,1,ns
三極管,Nab,0,n,34,0,34,3,n
三權分立,VH11,0,i,3,0,3,0,i
三民主義,Nba,0,nz,279,0,279,27,nz
三氯化鉍,Naa,0,n,3,0,3,0,n
三氯甲烷,Naa,1,nz,9,1,9,1,nz
三水,Nca,2,n,53,2,53,7,n
三溫暖,"Nad, Ncb","31, 0",nr,3,31,3,28,nr
三焦,Nad,0,nz,80,0,80,8,nz
三牲,Naea,0,n,22,0,22,2,n
三生有幸,VH11,2,i,40,2,40,5,i
三番兩次,Dd,2,m,11,2,11,2,m
三百六十行,Naea,3,m,18,3,18,4,m
三秋,Naea,1,t,16,1,16,2,t
三稜錐,Nac,0,nz,3,0,3,0,nz
三稜鏡,Nab,0,nz,32,0,32,3,nz
三等親,Nab,4,n,3,4,3,3,n
三級跳,VA11,1,l,25,1,25,3,l
三級跳遠,Nad,3,l,8,3,8,3,l
三維縣,Nca,0,ns,3,0,3,0,ns
三綱,Naea,0,n,3,0,3,0,n
三綱五常,Naea,0,i,29,0,29,2,i
三緘其口,VH11,4,i,17,4,17,5,i
三缺一,VH11,2,i,8,2,8,2,i
三義,Nca,6,n,8,6,8,6,n
三聯單,Nab,0,j,32,0,32,3,j
三胞胎,Naeb,1,n,8,1,8,1,n
三腳架,Nab,7,n,31,7,31,9,n
三腳貓,Nab,0,n,34,0,34,3,n
三芝,Nca,14,nrt,3,14,3,12,nrt
三藩市,Nca,1,nr,3,1,3,1,nr
三角函數,Nad,0,l,54,0,54,5,l
三角帆,Nab,0,nz,8,0,8,0,nz
三角形,Nac,34,n,479,34,479,78,n
三角旗,Nab,0,ns,3,0,3,0,ns
三角板,Nab,0,n,5,0,5,0,n
三角架,Nab,4,n,17,4,17,5,n
三角洲,Nab,0,ns,663,0,663,66,ns
三角瓶,Nab,0,n,3,0,3,0,n
三角肌,Nab,0,n,3,0,3,0,n
三角鐵,Nab,1,n,10,1,10,1,n
三言兩語,Nad,17,i,89,17,89,24,i
三請四喚,VA4,0,i,3,0,3,0,i
三讀會,Nad,0,nz,3,0,3,0,nz
三讀通過,VC2,12,n,3,12,3,11,n
三足鼎立,VH11,3,i,31,3,31,5,i
三跪九叩,VA4,1,nr,3,1,3,1,nr
三軍,Naea,32,j,617,32,617,90,j
三輪兒,Nab,0,n,3,0,3,0,n
三輪式,A,0,nz,3,0,3,0,nz
三輪車,Nab,17,n,160,17,160,31,n
三達德,Naea,1,nrt,3,1,3,1,nrt
三部曲,Nac,19,m,294,19,294,46,m
三重,Nca,23,m,231,23,231,43,m
三重市,Nca,6,j,3,6,3,5,j
三長兩短,Nad,4,j,99,4,99,13,j
三陽,b,0,ns,24,0,24,2,ns
三陽開泰,VH11,0,nz,8,0,8,0,nz
三隻手,Nab,0,i,12,0,12,1,i
三面體,Nab,0,n,3,0,3,0,n
三頭六臂,Naea,3,i,64,3,64,9,i
三顧茅蘆,VA4,0,i,3,0,3,0,i
三鮮,Naea,1,ns,265,1,265,27,ns
三點式,A,1,b,14,1,14,2,b
三點水,Nad,0,n,7,0,7,0,n
上,"Ncda, Nes, Ng, VA4, VC1","10650, 889, 8621, 0, 822",f,258101,20982,258101,147934,f
上上,A,7,t,6,7,6,6,t
上上下下,"Naea, VA11","8, 3",l,243,11,243,58,l
上下,"Ncdb, Neqb, VC2","140, 0, 17",f,2142,157,2142,783,f
上下其手,VH11,2,l,10,2,10,2,l
上下文,Nad,9,j,111,9,111,19,j
上下顛倒,VH11,0,i,3,0,3,0,i
上不起,VJ1,0,v,3,0,3,0,v
上乘,VH11,21,v,430,21,430,61,v
上京,VA13,3,ns,138,3,138,16,ns
上任,"Nv4, VH12","0, 104",v,541,104,541,201,v
上位,Ncb,2,n,71,2,71,8,n
上來,VA11,66,t,3970,66,3970,456,t
上元,Ndabd,0,t,73,0,73,7,t
上元節,Ndabd,0,t,7,0,7,0,t
上凍,VA3,0,t,3,0,3,0,t
上前,VA13,52,t,1658,52,1658,212,t
上升,Nv4,175,v,3747,175,3747,532,v
上午,Ndabe,0,t,3088,0,3088,308,t
上半身,Naa,8,n,68,8,68,14,n
上去,VA11,54,t,3421,54,3421,390,t
上口,VH11,11,ns,19,11,19,11,ns
上古,Ndaaa,0,ns,237,0,237,23,ns
上古史,Nac,5,n,8,5,8,5,n
上司,Nab,99,n,1137,99,1137,202,n
上吐下瀉,VA4,7,l,14,7,14,7,l
上品,Nab,3,n,268,3,268,29,n
上坡,"Ncb, VA13","0, 3",ns,58,3,58,14,ns
上坡道,Ncb,0,ns,3,0,3,0,ns
上場,VA13,57,n,416,57,416,92,n
上墳,VA13,3,v,49,3,49,7,v
上士,Nab,2,ns,33,2,33,5,ns
上天,Nad,45,t,312,45,312,71,t
上奏,VC2,2,v,3,2,3,2,v
上套兒,VH11,0,n,3,0,3,0,n
上好,A,19,v,86,19,86,25,v
上學,Nv4,151,n,880,151,880,223,n
上官,Nbc,1,n,67,1,67,7,n
上將,Nab,10,n,709,10,709,79,n
上尉,Nab,22,n,136,22,136,33,n
上屈,VA11,0,v,3,0,3,0,v
上山,VA13,116,ns,840,116,840,188,ns
上岸,VA13,43,f,381,43,381,76,f
上工,VA4,10,v,73,10,73,16,v
上市,Nv4,315,ns,3199,315,3199,603,ns
上帝,Nad,196,n,1170,196,1170,293,n
上帝教,Nba,0,nz,3,0,3,0,nz
上床,VA13,35,v,308,35,308,62,v
上弦,A,1,v,22,1,22,3,v
上弦月,Nab,2,n,3,2,3,2,n
上得起,VJ1,0,v,3,0,3,0,v
上房,Nab,1,n,236,1,236,24,n
上手,VA4,9,v,60,9,60,14,v
上揚,"Nv4, VH11","0, 64",v,393,64,393,136,v
上方,Ncdb,51,f,726,51,726,118,f
上旬,Ndabd,0,t,280,0,280,28,t
上映,VA2,10,v,213,10,213,30,v
上書,VC2,13,v,818,13,818,93,v
上朝,VA13,3,t,215,3,215,24,t
上校,Nab,32,j,262,32,262,55,j
上桌,VA13,11,n,58,11,58,15,n
上榜,VH11,12,v,55,12,55,16,v
上樑不正下樑歪,VH11,0,i,16,0,16,1,i
上樓,VA13,24,ns,220,24,220,43,ns
上款,Nac,0,v,8,0,8,0,v
上氣不接下氣,VH11,0,l,90,0,90,9,l
上水船,Nab,3,n,3,3,3,3,n
上油,VB11,2,n,3,2,3,2,n
上流,A,20,b,163,20,163,34,b
上海,Nca,396,ns,16377,396,16377,1994,ns
上海市,Nca,15,ns,1910,15,1910,204,ns
上海港,Nca,0,ns,66,0,66,6,ns
上游,Ncb,74,f,1780,74,1780,244,f
上演,"Nv4, VA2","0, 62",v,642,62,642,184,v
上漲,VH12,149,v,2389,149,2389,373,v
上火,VH11,3,v,60,3,60,8,v
上片,VH11,3,n,3,3,3,3,n
上班,VA4,233,v,1337,233,1337,343,v
上班族,Nab,128,nz,216,128,216,136,nz
上班服,Nab,0,n,3,0,3,0,n
上略,Nad,0,v,3,0,3,0,v
上當,VH11,43,v,382,43,382,76,v
上癮,VH11,23,v,80,23,80,28,v
上發條,VA4,0,n,3,0,3,0,n
上皮,Nab,17,n,246,17,246,39,n
上皮細胞,Nab,0,l,3,0,3,0,l
上眼,b,0,t,3,0,3,0,t
上知,Nab,0,v,3,0,3,0,v
上禮,Nac,0,v,3,0,3,0,v
上空,"Ncb, VH11","49, 1",v,1063,50,1063,257,v
上端,Ncdb,4,f,104,4,104,14,f
上等兵,Nab,0,n,16,0,16,1,n
上策,Nac,11,n,142,11,142,24,n
上算,VH11,0,v,11,0,11,1,v
上級,Nab,123,b,3243,123,3243,435,b
上聲,Nad,2,v,9,2,9,2,v
上肢,Naea,1,n,94,1,94,10,n
上肢骨,Nab,0,n,3,0,3,0,n
上脘,Nab,0,n,3,0,3,0,n
上膛,VA4,0,n,3,0,3,0,n
上臂骨,Nab,0,n,3,0,3,0,n
上臺,VA13,19,ns,762,19,762,93,ns
上船,"Nv4, VA13","0, 18",v,328,18,328,81,v
上色,VA4,3,b,29,3,29,5,b
上菜,VA4,7,n,44,7,44,10,n
上蒼,Nab,10,ns,62,10,62,15,ns
上行,VA11,9,v,433,9,433,51,v
上行下效,VA4,1,n,25,1,25,3,n
上街,VA13,28,ns,235,28,235,48,ns
上衣,Nab,20,n,438,20,438,61,n
上裝,Nab,2,v,94,2,94,11,v
上言,VB11,0,v,3,0,3,0,v
上計,Nac,0,v,3,0,3,0,v
