file,no,content,a,b,c,d,e,ans
2016-07-31-18-08-27.txt,3,"晚上10点多到家之后只有发现痘疤的︽⊙＿⊙︽有点脱妆之外,其他部分都没有大出油或是浮粉脱妆的问题喔!",四格,cosme,laduree,高亮度,遮瑕,e
2016-07-31-18-08-27.txt,5,很开心的他们聊了起来，︽⊙＿⊙︽果然是个很有魅力的观光城市啊，虽然来了好几趟了，但还是觉得这里很好,四草大桥,小馆,台东,闽南书院,闹区,c
2016-07-31-19-10-37.txt,1,我想，历经了东北季风很强的冬天去绿岛搭一小时的船，到︽⊙＿⊙︽才25分钟内，真的不算什么了,气势,小琉球,师傅,武媚娘,鼻水,b
2016-07-31-19-10-37.txt,3,粉鸟林︽⊙＿⊙︽唯一的餐厅就是阿满姨小吃部，就在海巡署旁这间蓝色铁皮屋，当天还遇到重机骑士们前来用餐,渔港,环景,龙腾断桥,盐埕区,老店,a
2016-07-31-19-10-37.txt,4,也就是不只细细滑滑，同时也更滋润了，也就是︽⊙＿⊙︽这瓶明星商品光采再生活肤霜的滋润型的主要感觉了,fasio,妞子,康是美,黄线,revive,e
2016-07-31-19-10-37.txt,2,肤质差一点的，可以把这罐当保湿又有润色效果的妆前乳，然后再擦粉饼或︽⊙＿⊙︽都o,粉底液,塞满,价钱,大雄,悬空,a
2016-07-31-19-10-37.txt,5,订的，有时可以订到比官网更便宜的价格喔，很多人可能会觉得距离火车站那么近，那价钱一定不便宜吧！其实说真的，吉米看到价格真是吓了一大跳，在这住一晚只要两千多，因此若是要在︽⊙＿⊙︽玩一阵子的话，住这里绝对是便宜又方便的好选择,交叉口,有限公司,都兰,汕头火锅,台北,e
2016-07-31-20-12-45.txt,1,富贵角︽⊙＿⊙︽台湾最北的︽⊙＿⊙︽。西元1896年，日本人为建设日本与台湾两地之间的海底电缆及航路标识，动工兴建了日本人据台后所建设的第一座︽⊙＿⊙︽—富贵角︽⊙＿⊙︽，西元1897年的2月24日才告完工，并正式启灯运作,光环,汉娜,灯塔,酸奶,美体,c
2016-07-31-20-12-45.txt,2,︽⊙＿⊙︽幸福指数不在全国县市前十名，相较市长赖清德第一的个人民调，的确有些差距,亮相,牛轧糖,美妆盒,台南市,陌生,d
2016-07-31-20-12-45.txt,3,在他找来︽⊙＿⊙︽餐旅大学助理教授苏国垚、美食文化作家王浩一、设计师蔡佩烜后，旅店的雏型开始慢慢成形,商行,杉板,扇形车站,西湖,高雄,e
2016-07-31-20-12-45.txt,5,"给大家看看, 我已经全脸都上了保湿水︽⊙＿⊙︽, 我的底妆依然非常的有光泽度!!!!!!!!!!!!!!!!!!",粉饼,hermes,线条,黏贴,nivea,a
2016-07-31-20-12-45.txt,4,这瓶美肌智慧︽⊙＿⊙︽约莫是二月底，三月初的时候于诚品武昌买的，当初也不知道该位柜哥怎帮我选了#4这么深，也没试在脸上，只想赶快买了瓶赶着去看电影，后来才发现#4有多么多么深，有多么多么黄。对照精采粉持色︽⊙＿⊙︽nc30，初估这瓶美肌智慧︽⊙＿⊙︽的#4约莫是一般mac粉底的nc35甚至是nc40吧,仕女,弹弹,粉底液,diptyque,理肤宝水,c
2016-07-31-21-14-54.txt,2,再一次整理我手上目前收集的4色防水︽⊙＿⊙︽，除了#84褐灰外，其他都是过去的限量色,玉手,眼线笔,邮筒,武装,单点,b
2016-07-31-21-14-54.txt,1,利用平日应该比假人少一点的心态，想要来个︽⊙＿⊙︽全攻略，所以早早9点门一开，我们就入园了~,装水,汤类,剑湖山,太帅,肌因,c
2016-07-31-21-14-54.txt,4,穿越文武庙褐黄发光的琉璃屋瓦望穿︽⊙＿⊙︽，忍不住边赏美景边祈求风调雨顺、国泰民安。这片让人安心的美，你一定要亲身感受,日月潭,澎湖,来一,悬崖,土沟,a
2016-07-31-21-14-54.txt,3,自己也发现许多有旅店、民宿都收录了！像是前头写到的未艾公寓、自在︽⊙＿⊙︽、佳适旅店都是,名馆,家乡,东海大学,woolloomooloo,安平,e
2016-07-31-21-14-54.txt,5,然后包装上，也是挺用心，使用︽⊙＿⊙︽包装纸，同时也用︽⊙＿⊙︽logo贴纸，整个纸箱也都有做好很好的防震处理，包装上干净、俐落，有条理，打开来也是相当舒服，大概稍微美中不足的，就是差一个品牌纸袋，不过如果说是因为致力于环保，这点就又另当别论了,护唇膏,名品,雅诗兰黛,眼袋,手部保养,c
2016-07-31-22-17-00.txt,1,提到我2013年才刚买的mac #134 专业大︽⊙＿⊙︽刷 ，还是不得不提它就是能将︽⊙＿⊙︽大把大把地抓取，然后做一个很爽快的最后︽⊙＿⊙︽定妆，可以说是#129腮红刷的两倍毛量，主要就是用于︽⊙＿⊙︽的定妆使用，抓粉力一流、柔软弹性一流，相当适合用来刷大量的松粉，大面积大面积的定妆使用，而且还是法国制，一种很幸福的松粉定妆感，就是选这支mac #134 专业大︽⊙＿⊙︽刷就对了,蜜粉,红枫,特辑,海岸公路,老式,a
2016-07-31-22-17-00.txt,3,ps：关于︽⊙＿⊙︽南江休闲农业区团体一日游行程，会依据当季农事体验进行调整，实际行程请参考以下资,乡亲,南庄,村岗北路,安平港,林森,b
2016-07-31-22-17-00.txt,2,入龙喉出虎口，消灾解厄增吉祥，大过年的就是要讨过吉利！春节期间，︽⊙＿⊙︽还会有热闹的农特产和特色市集可以逛，观光小火车或天鹅船可以搭，水陆二用鸭子船目前也是只有︽⊙＿⊙︽线可以尝鲜,莲池潭,游民,私人,橘树,蛋包,a
2016-07-31-22-17-00.txt,5,连我自己在编写文章的过程我就忍不住下标再买了一组︽⊙＿⊙︽ pro以及十个刷头,水养,clarisonic,程式,fendi,肌研白润,b
2016-07-31-22-17-00.txt,4,赶紧趁热吃，咬上一口，原来这饼是有层次的，作法好像和︽⊙＿⊙︽另一家出名的义丰葱油饼差不,罗东,蔚蓝,金涌泉,埔里酒厂,早市,a
2016-07-31-23-19-09.txt,1,对我而言，印象的富锦街是两旁的︽⊙＿⊙︽　还有感觉很有味道的房子　不高却感觉很有人,充电器,大树,甜菜,奇葩,冠军,b
2016-07-31-23-19-09.txt,2,"""牛排的部分也还算软嫩 以这个价位来说算是 c/p 值挺高 比起︽⊙＿⊙︽市的众多连锁牛排馆来说算好吃呦""",藤泽,勺子,司塔,台北,子钧,d
2016-07-31-23-19-09.txt,3,"""①先以d色粉红 beige 抹于上眼折处，带出女孩儿的柔软微甜感。②以c色 beige beige 晕染于眼窝，打造出眼妆的高明度。③利用丝光b色打亮眉骨，加强提升全体的明亮感。④接着使用e色阴影 beige 由下眼头往眼尾描绘出下眼影的部分。⑤再以中性咖啡f色描绘上︽⊙＿⊙︽与下︽⊙＿⊙︽后1/3，在眼尾处交接相连。⑥最后以闪亮a色微微打亮眼头""",红色,neom,眼线,蜜葳特,银河,c
2016-07-31-23-19-09.txt,4,到了fundi的门口，觉得这间民宿地理位置好优呀，虽然说是在巷弄，但离大马路口也没几步，而且近︽⊙＿⊙︽火车站，附近美食也不少，斜对面还有一间狠夯的早午餐店，电视有采访过喔~可惜~我们隔天赶着下个行程，不然我一定会好好的朝圣它的~第一眼看到fundi的门面，就深深被吸引住，复古风的灯具和洗石子墙，以及别出心裁的时尚招牌，再加上木制大门，使得钢硬偏冷的设计注入一点温暖感，我喜欢这样的简约式设计,老五,城楼,树林,三貂岭,台南,e
2016-07-31-23-19-09.txt,5,"""这次分享我最爱的妆前保养霸主"""" ︽⊙＿⊙︽ c."""" 他们又有新产品了--晶透亮妍水凝""",增量,保湿喷雾,瑰柏翠,百款,bevy,e
2016-08-01-00-21-18.txt,3,而开架的话，媚比琳&amp;︽⊙＿⊙︽的，还有lavshuca~还有za的唇膏我也都蛮推,豆沙,integrate,倩碧水磁场,oversized,刷哥,b
2016-08-01-00-21-18.txt,2,板陶窑交趾剪黏工艺园区爬文说这是︽⊙＿⊙︽最具文化特色的园区，那当然一定要来看看啰~这儿的门票为100元，门票可以抵diy及兑换商品,车线,标示,嘉义,红宝石,声明,c
2016-08-01-00-21-18.txt,1,离开遇见晨曦，车子缓缓地经过一座桥，眼前就是刚刚骑脚踏车可以一览的︽⊙＿⊙︽畔美丽风光,冬山河,人员,食神,奶粉,初学者,a
2016-08-01-00-21-18.txt,5,不过，眉胶跟︽⊙＿⊙︽胶的大小和包装都一样，这点倒是有点麻烦，因为会不小心拿错,蜜葳特,冰珠,厚重感,neom,眼线,e
2016-08-01-00-21-18.txt,4,然后在下眼皮的部分加上卧蚕，使用的是我最爱的too cool for school的︽⊙＿⊙︽,法国名牌,乳状,burberry,圆牌,眼线笔,e
2016-08-01-01-23-26.txt,1,旗山火车站算是︽⊙＿⊙︽上非常重要的一个地标，来到旗山当然也得来看看这栋结合了维多利亚和哥德复古式的建筑喔,天使,穿鞋,旗山老街,团费,法义,c
2016-08-01-01-23-26.txt,2,如果饿了也可以在一楼优雅一隅中，享用英式谷仓内的轻食帕尼尼或︽⊙＿⊙︽经典美食。里头也有贩售马玉山的商品哊,施舒雅,烧烤,气感,一条,颈部,b
2016-08-01-01-23-26.txt,3,食记∥ 高雄︽⊙＿⊙︽。parlare coffee怕喇咧咖啡 - 熊熊立体拉花茂盛少女心＆复古文艺工业,过路,新埔站,诚品绿园道,凤山,雨势,d
2016-08-01-01-23-26.txt,4,来到︽⊙＿⊙︽土库，我们先吃了顺天宫斜对面的怪人花枝鳝鱼面和红龟莿壳粿，再到市场另一头寻找噗友推荐的当归鸭肉面线，最后外带古早味双糕润回车上当甜点,古道,龙井,士林,云林,盛开,d
2016-08-01-01-23-26.txt,5,看完26色，最后当然一定也少不了黑色的︽⊙＿⊙︽，同样是黑色，这个#superfly是温柔一点，主要也不带金属感，呈现上也比较柔和些的雾黑色，反倒在最后结束在这样的#superfly有点可惜，因为照道理说，应该也要有一支mac经典的黑金色，可惜这样应该带金属感的黑金色，没有在这次的mac持色烟熏︽⊙＿⊙︽出现,眼线笔,整盘,burberry,法国名牌,皮绳,a
2016-08-01-02-25-34.txt,1,"""这颗是目前︽⊙＿⊙︽树龄最高的神木，今年已经2700岁了哦！它是属于光武桧，因为位在""""香林国小""""不远处，所以当时的县长把它改名为""""︽⊙＿⊙︽香林神木""""""",男子,阿里山,膜炎,葱花,围观,b
2016-08-01-02-25-34.txt,2,这张在︽⊙＿⊙︽海境渡假民宿跟梦幻海景大浴缸的合照，在facebook被狂赞与转寄,娇兰,诱光,垦丁,膳食,面光,c
2016-08-01-02-25-34.txt,3,没想到这次从︽⊙＿⊙︽出来之后便下起大雨，雨势又急又快，于是便进来喝个下午茶顺便避避雨,北海岸,市口,清安豆腐街,花莲扁食,松树,c
2016-08-01-02-25-34.txt,4,"""不过，直到出发的前一两天我才收到体验的流程，那个最吸引我过去的spa按摩，竟然不知道怎样被取消了，虽然我的心中在滴血，但是答应了还是要出席，不能随便放鸟不去啊～ 所以这天我跟妹妹一块出发到︽⊙＿⊙︽的novotel，宸宸听到有住饭店这样的好事，央求我们带他去，所以最后我、妹妹、宸宸还有三个月大的流星雨就一块出门了""",桃园机场,中山北路,流程,梧栖,行驶,a
2016-08-01-02-25-34.txt,5,花东的海味：路边现杀海胆、阿美族熏烤飞鱼、新社噶玛兰野生龙虾、︽⊙＿⊙︽旗鱼大,台商,龙潭,社口村,容貌,成功,e
2016-08-01-03-27-45.txt,2,多株的玫瑰花，娇粉、鹅黄、粉白、紫艳、深红…，各色各样的玫瑰同时绽放，邀请旅人感受属于︽⊙＿⊙︽的烂漫,黏贴,春日,都一,小妹,建筑师,b
2016-08-01-03-27-45.txt,1,现在就带着轻便衣物、运动鞋及泳衣，来︽⊙＿⊙︽老爷享受一场温泉美食纾压养生之旅吧,表格,瓷砖,北投,铁锅,护色,c
2016-08-01-03-27-45.txt,4,客厅舒服温馨，书柜都是他们从以前到现在买的书，保存十分良好，觉得与其放着生灰尘，不如就摆在客厅跟住客们分享，沙发上还有粉红熊熊和蓝色龙猫，墙上挂有︽⊙＿⊙︽的观光地图和民宿入住须,花莲,国宴,石牌,后里,小游,a
2016-08-01-03-27-45.txt,3,点多，最有名的甘蔗清冰已经卖光光，然后就在我们犹豫该不该点冰淇淋来吃时，︽⊙＿⊙︽淇淋也卖光,外层,芋头冰,桃米生态村,国姓,人潮,b
2016-08-01-03-27-45.txt,5,唯一要额外补充的是，出草对于生于和平或是没有这样传统的我们会太过于暴力血腥，但是对于赛德克族来说，这是他们的传统，有能力保护族人的传统与象征，虽然出草的当下抱着杀戮之心，在出草后就是朋友，他们会照顾、祭拜头颅，不管身前的仇恨，在死后他们在︽⊙＿⊙︽的那端就是一起喝酒欢唱的好朋友，这稍微能够解是在上集最后小孩子所做的事情的解释,彩虹桥,木造,夕游出张所,台南艺术大学,水巷,a
2016-08-01-04-29-55.txt,2,这里的每个房间都有不同的设计主题，没有过多的装饰，让住在这里的人能更轻易的融入放松，唯一相同的是都有一大片景观窗，有些面向火车站的方法，有些面向︽⊙＿⊙︽的方向。不管面向哪里？肯定都有不同的惊喜体验,罗东夜市,跟鞋,版子,踝靴,回教徒,a
2016-08-01-04-29-55.txt,1,而且可能因为好丘名字里有个丘吧   我还以为它在哪的︽⊙＿⊙︽上  属于交通很不便那,浴帽,山坡,母乳,化学性,包款,b
2016-08-01-04-29-55.txt,4,在东里家风哩，可以看到五、六十年代的怀旧风聚落，︽⊙＿⊙︽仔南北货、日日春酒庄、山内时计店、英家布庄的招牌,河流,林默娘公园,宝瓶号,二林,水里,e
2016-08-01-04-29-55.txt,3,展出的艺术家作品，都与︽⊙＿⊙︽有着很深的地缘，或许在这住了很久一段时间，或许本身就是︽⊙＿⊙︽人，这系列是吴仲宗老师的陶艺作品，现在听说在大陆很火红，他的创作皆以夫人为发想，福态圆润的身型，嘴角微扬相当讨喜,三芝,交趾,苏澳,金门旅游,夏草,a
2016-08-01-04-29-55.txt,5,。由于原本的︽⊙＿⊙︽夜市要进行市地重划，所以才有计划性的迁移。 2009年选定现在的位置，因新地点就在人文公园旁故取名人文公园夜市，于隔年的1月9日开幕,斗六,板桥车站,臭臭,双溪,行驶,a
2016-08-01-05-32-05.txt,1,"""原本还以为是︽⊙＿⊙︽限定商品，结果好像就是特别推出的收纳礼物盒，虽然你会心想这东西到底能干嘛...，而且agnes b.实在做好多这种很多都只能""""摆""""的东西，不过对我来说，就是把这些东西融入生活，作为一些生活的小点缀，也希望不仅仅只是提升自己在穿搭上的质感，更同时能够增加一些居家环境的生活品味，而它的加购价600元，对我来说就是还能够负担的，所以就当作买一个装饰品，给自己生活一些调剂""",玩家,cafe,红感,理论,高领,b
2016-08-01-05-32-05.txt,2,草本净凉洗发乳75ml+草本净凉润发乳75ml+玫瑰皇后︽⊙＿⊙︽75ml+2014普罗旺斯tote,文社,脚椅,沐浴胶,蒸饺,美术,c
2016-08-01-05-32-05.txt,3,超酷的，这里居然有盐酥鸡！在︽⊙＿⊙︽这边吃到盐酥鸡就跟在新训中心里头吃麦当劳没两样呀！立马买了一份来吃,淡水渔人码头,达仁,电线杆,绿色隧道,距离,b
2016-08-01-05-32-05.txt,4,"最主要都是强调紧致润泽的效果~她的渗透力很好, 我个人很推荐刚要开始接触精油保养的女孩们先从︽⊙＿⊙︽致芳香精露开始入",盛夏,气垫粉饼,vaseline,蜜糖,百妍极,e
2016-08-01-05-32-05.txt,5,因为fan娘的五官不是很深的那一种，尤其是眼窝的部分，所以︽⊙＿⊙︽一直是我很喜,眼线,高潮,全能,neom,蜜葳特,a
2016-08-01-06-34-12.txt,3,当然大家也可依造自已喜欢的风格︽⊙＿⊙︽甲师讨论。露这次是︽⊙＿⊙︽甲师薇雅合作的,哈摩尼韩食堂,和美,羊角,大埤,欧爸,b
2016-08-01-06-34-12.txt,1,再来，我准备越过这座小桥，来到梦幻湖的另外一端，再多多欣赏不同角度的︽⊙＿⊙︽水,云山,阿汤哥,日常用品,静电,图样,a
2016-08-01-06-34-12.txt,2,"""明湖水漾会馆前面有蛮大的草坪!今天有""""︽⊙＿⊙︽乐活产业联盟成立暨幸福巴士启动记者会""",头屋,气色,格子窗,世纪,水瓢,a
2016-08-01-06-34-12.txt,5,明月星空还备有脚踏车可以借～一早起床在田园间骑脚踏车，想到的画面就是︽⊙＿⊙︽武阿xd,游程,得安村,小馆,黑翅萤,金城,e
2016-08-01-06-34-12.txt,4,这次寄来的︽⊙＿⊙︽总共有五件:分别是多酚焕采洁颜露、微晶焕采去角质露、水凝焕采晶露、平衡焕采调理乳、乔沛诗chap-ex袪痘乳膏，上面都有一个红底白色的加号可供辨认,全智贤,保养品,恋爱魔镜,cosme,下巴,b
2016-08-01-07-36-20.txt,1,接着到达︽⊙＿⊙︽国小对面的水族馆，这家不仅只有水族还有奇珍异兽，门口看到正在蜕皮的变色龙，上头还有灯光照射，老板说应为他们需要晒太阳，蜕皮后才会长大,酒水,上唇,专家,三民,玩伴,d
2016-08-01-07-36-20.txt,2,下一场展览的内容我就没仔细问了，不过这个场馆的展览，人比︽⊙＿⊙︽当时少太多了，我曾经在博物馆工作过，很知道博物馆真的要人少少的参观才是一种享受,经络,华山,机动性,节省,行李箱,b
2016-08-01-07-36-20.txt,3,而宝拉珍选，就只要一瓶抗老化柔肤2%水杨酸︽⊙＿⊙︽就完成了去角质及保湿的动作,黑珍珠,身体乳,于刚,sisley,超抗晕,b
2016-08-01-07-36-20.txt,4,今年的台东绿岛兰屿游，因为文子出门后又绕回家拿东西，错过了早上台北飞台东的班机，在计划赶不上变化的情况下，我们决定先去︽⊙＿⊙︽对面的富锦街绿色隧道拍照杀时间,行程表,丰滨,烤鲜蚵,松山机场,车水,d
2016-08-01-07-36-20.txt,5,"另外南环也有︽⊙＿⊙︽的行程,我们这次选择的︽⊙＿⊙︽直接请教练将︽⊙＿⊙︽跟立桨sup搬到时里沙",独木舟,新月广场,童玩,小鸭,三峡老街,a
2016-08-01-08-38-29.txt,1,︽⊙＿⊙︽其实就是游明山所建，所以如果入住明山的饭店~就等于助在︽⊙＿⊙︽内唷,绑绳,妖怪村,酸度,买的,篮子,b
2016-08-01-08-38-29.txt,3,"""和bb︽⊙＿⊙︽一样都附上一支半月形蜜粉刷 有点儿微微的弧度可以顺着脸庞的立体线条均匀上""",jurlique,魔镜,蜜粉饼,clarins,铁盒,c
2016-08-01-08-38-29.txt,2,︽⊙＿⊙︽，络绎不绝的游艇载着游客忙碌穿梭，好不热闹；在梅花湖，却能悠然云水间,日月潭,修女,洗衣服,玉兔,公关,a
2016-08-01-08-38-29.txt,4,"当天迷恋的是它的经典隽永,但是在新任创意总监jonathan anderson的领导之下,︽⊙＿⊙︽今年有了不同的面",蜜葳特,loewe,竹下,品木宣言,赛车,b
2016-08-01-08-38-29.txt,5,︽⊙＿⊙︽ nt.3650 ︽⊙＿⊙︽芯 nt.2450 - 刚扑上去的定妆时刻最,aesop,净化,安美诺,宛若,蜜粉,e
2016-08-01-09-40-39.txt,1,1028这个牌子其实我一直都很喜欢，每次看到小屈在大特价时总是会大搜刮，这些是老虎狗这次的小小战利品~除了好用的cc保湿霜外，另外卸妆和︽⊙＿⊙︽也都很好用哟,睫毛膏,紫禁城,动能,殖民,代价,a
2016-08-01-09-40-39.txt,2,这支也可以拿来做腮红刷跟︽⊙＿⊙︽刷，当腮红刷非常赞，用点的方式上腮红会变的很自然不会有界,蜜粉,电视机,酸酸,白兔,老佛爷,a
2016-08-01-09-40-39.txt,4,由于城堡位在︽⊙＿⊙︽，一开始水管线并没有连通到，金车每天运水上山就为了让游客能享受一杯咖,二食,桥头,锦记,山上,水草,d
2016-08-01-09-40-39.txt,5,好啦～除了大学池外，还有︽⊙＿⊙︽的瞭望台与天文台、筠屋、竹类标本园、巨石、子定亭、森林生态展示中心...等,龙山寺,凤凰山,雪橇,品皇咖啡,记饼,b
2016-08-01-09-40-39.txt,3,由于今日的风浪还是很大，加上是逆风浪方向的缘故，所以感觉很像坐海盗船，也让船上不时惊叫连连；当然也有不少人又晕船了！就在这种情形下，约莫11:30到达︽⊙＿⊙︽。而船在此停留两个小时，因此便租了摩托车来个快速走马看花之旅,望安,兰城晶英酒店,展馆,树叶,泰武,a
2016-08-01-10-42-46.txt,2,附近有百货公司、商圈跟美食店家聚集，home hotel大安就位在忠孝︽⊙＿⊙︽捷运站,复兴,两格,烤鱼,光灿,糖浆,a
2016-08-01-10-42-46.txt,1,喔，对了，还有一个秘密，那就是：这里看︽⊙＿⊙︽岛真的超超超级清楚的啦！光是这一些介绍，就很值得你去看一看了，是吧？,掩面,龟山,记号,空瓶,女伶,b
2016-08-01-10-42-46.txt,3,据说这天︽⊙＿⊙︽香9:10左右营业　我9:20到　最后10点才领到餐　非常夸,宜兰,场馆,白河,新庄,味香,a
2016-08-01-10-42-46.txt,4,来台南就是吃饱饱睡好好的快乐旅行阿，推荐给大家︽⊙＿⊙︽区的优质民宿-莫非工寓,东海大学,盛产,金龙山,woolloomooloo,安平,e
2016-08-01-10-42-46.txt,5,来到盐山这边，白白的︽⊙＿⊙︽插满了鲤鱼旗，加上蓝色的天空，快门真是按不停~~,水草,古风,锦记,桥头,山上,e
2016-08-01-11-44-53.txt,1,平面道路可从︽⊙＿⊙︽文心南路往大里方向→接德芳路三段看到国光路右转直走→接中兴路一段直走→接中正路直走→看到921地震教育园区左转指标前进即可到达,台中市,山腰,拍景,含油,耳罩,a
2016-08-01-11-44-53.txt,2,看看切开的样子，烤得刚刚好，超级嫩！搭配的薄荷酱汁更是绝配，有点酸酸甜甜的可以去腻。真的很意外在卓兰︽⊙＿⊙︽可以吃到这么棒的烤羊肩。真的难忘,女性朋友,新郎新娘,山上,细胞,厨柜,c
2016-08-01-11-44-53.txt,3,猪头饭、阿︽⊙＿⊙︽面和阿桐意面都在这里，照片左边的路上还有一家阿姬意面的生意也很好,龙山寺,渔港,开馆,坑子口,三义,e
2016-08-01-11-44-53.txt,4,名人馆则展示诞生于︽⊙＿⊙︽地区，在各个领域名列台湾第一的四位知名人士。有杜聪明、江文也、卢修一及李登辉,三芝,双城,金门旅游,苏澳,芦之牧,a
2016-08-01-11-44-53.txt,5,旅游∥ ︽⊙＿⊙︽ - 吃吃喝喝系列：饺神二代水饺、小蝌蚪起司饼、︽⊙＿⊙︽老李葱油饼,小琉球,荷方,品皇咖啡,心租,石灰岩,a
