file,no,content,a,b,c,d,e,ans
2016-07-31-18-08-27.txt,1,日據之後，日本隨即派兵進駐台灣，在陸軍方面，由步兵第一聯隊守衛台北，第二聯隊駐紮台南，︽⊙＿⊙︽大成館及舊文學院即為原日軍步兵第二聯隊之建築,劉海,成功大學,樂扣,挖空,藥膏,b
2016-07-31-18-08-27.txt,4,"""看了那麼多說明，但第一次使用時還是有點不習慣 它清透如水，跟我印象中的︽⊙＿⊙︽完全不一樣，使用起來像是化妝水般清爽，卻保濕的""",營養素,smashbox,holika,精華液,太白,d
2016-07-31-18-08-27.txt,3,"晚上10點多到家之後只有發現痘疤的︽⊙＿⊙︽有點脫妝之外,其他部分都沒有大出油或是浮粉脫妝的問題喔!",四格,cosme,laduree,高亮度,遮瑕,e
2016-07-31-18-08-27.txt,5,很開心的他們聊了起來，︽⊙＿⊙︽果然是個很有魅力的觀光城市啊，雖然來了好幾趟了，但還是覺得這裏很好,四草大橋,小館,台東,閩南書院,鬧區,c
2016-07-31-19-10-37.txt,1,我想，歷經了東北季風很強的冬天去綠島搭一小時的船，到︽⊙＿⊙︽才25分鐘內，真的不算什麼了,氣勢,小琉球,師傅,武媚娘,鼻水,b
2016-07-31-19-10-37.txt,3,粉鳥林︽⊙＿⊙︽唯一的餐廳就是阿滿姨小吃部，就在海巡署旁這間藍色鐵皮屋，當天還遇到重機騎士們前來用餐,漁港,環景,龍騰斷橋,鹽埕區,老店,a
2016-07-31-19-10-37.txt,4,也就是不只細細滑滑，同時也更滋潤了，也就是︽⊙＿⊙︽這瓶明星商品光采再生活膚霜的滋潤型的主要感覺了,fasio,妞子,康是美,黃線,revive,e
2016-07-31-19-10-37.txt,2,膚質差一點的，可以把這罐當保濕又有潤色效果的妝前乳，然後再擦粉餅或︽⊙＿⊙︽都o,粉底液,塞滿,價錢,大雄,懸空,a
2016-07-31-19-10-37.txt,5,訂的，有時可以訂到比官網更便宜的價格喔，很多人可能會覺得距離火車站那麼近，那價錢一定不便宜吧！其實說真的，吉米看到價格真是嚇了一大跳，在這住一晚只要兩千多，因此若是要在︽⊙＿⊙︽玩一陣子的話，住這裡絕對是便宜又方便的好選擇,交叉口,有限公司,都蘭,汕頭火鍋,台北,e
2016-07-31-20-12-45.txt,1,富貴角︽⊙＿⊙︽台灣最北的︽⊙＿⊙︽。西元1896年，日本人為建設日本與台灣兩地之間的海底電纜及航路標識，動工興建了日本人據台後所建設的第一座︽⊙＿⊙︽—富貴角︽⊙＿⊙︽，西元1897年的2月24日才告完工，並正式啟燈運作,光環,漢娜,燈塔,酸奶,美體,c
2016-07-31-20-12-45.txt,2,︽⊙＿⊙︽幸福指數不在全國縣市前十名，相較市長賴清德第一的個人民調，的確有些差距,亮相,牛軋糖,美妝盒,台南市,陌生,d
2016-07-31-20-12-45.txt,3,在他找來︽⊙＿⊙︽餐旅大學助理教授蘇國垚、美食文化作家王浩一、設計師蔡佩烜後，旅店的雛型開始慢慢成形,商行,杉板,扇形車站,西湖,高雄,e
2016-07-31-20-12-45.txt,5,"給大家看看, 我已經全臉都上了保溼水︽⊙＿⊙︽, 我的底妝依然非常的有光澤度!!!!!!!!!!!!!!!!!!",粉餅,hermes,線條,黏貼,nivea,a
2016-07-31-20-12-45.txt,4,這瓶美肌智慧︽⊙＿⊙︽約莫是二月底，三月初的時候於誠品武昌買的，當初也不知道該位櫃哥怎幫我選了#4這麼深，也沒試在臉上，只想趕快買了瓶趕著去看電影，後來才發現#4有多麼多麼深，有多麼多麼黃。對照精采粉持色︽⊙＿⊙︽nc30，初估這瓶美肌智慧︽⊙＿⊙︽的#4約莫是一般mac粉底的nc35甚至是nc40吧,仕女,彈彈,粉底液,diptyque,理膚寶水,c
2016-07-31-21-14-54.txt,2,再一次整理我手上目前收集的4色防水︽⊙＿⊙︽，除了#84褐灰外，其他都是過去的限量色,玉手,眼線筆,郵筒,武裝,單點,b
2016-07-31-21-14-54.txt,1,利用平日應該比假人少一點的心態，想要來個︽⊙＿⊙︽全攻略，所以早早9點門一開，我們就入園了~,裝水,湯類,劍湖山,太帥,肌因,c
2016-07-31-21-14-54.txt,4,穿越文武廟褐黃發光的琉璃屋瓦望穿︽⊙＿⊙︽，忍不住邊賞美景邊祈求風調雨順、國泰民安。這片讓人安心的美，你一定要親身感受,日月潭,澎湖,來一,懸崖,土溝,a
2016-07-31-21-14-54.txt,3,自己也發現許多有旅店、民宿都收錄了！像是前頭寫到的未艾公寓、自在︽⊙＿⊙︽、佳適旅店都是,名館,家鄉,東海大學,woolloomooloo,安平,e
2016-07-31-21-14-54.txt,5,然後包裝上，也是挺用心，使用︽⊙＿⊙︽包裝紙，同時也用︽⊙＿⊙︽logo貼紙，整個紙箱也都有做好很好的防震處理，包裝上乾淨、俐落，有條理，打開來也是相當舒服，大概稍微美中不足的，就是差一個品牌紙袋，不過如果說是因為致力於環保，這點就又另當別論了,護唇膏,名品,雅詩蘭黛,眼袋,手部保養,c
2016-07-31-22-17-00.txt,1,提到我2013年才剛買的mac #134 專業大︽⊙＿⊙︽刷 ，還是不得不提它就是能將︽⊙＿⊙︽大把大把地抓取，然後做一個很爽快的最後︽⊙＿⊙︽定妝，可以說是#129腮紅刷的兩倍毛量，主要就是用於︽⊙＿⊙︽的定妝使用，抓粉力一流、柔軟彈性一流，相當適合用來刷大量的鬆粉，大面積大面積的定妝使用，而且還是法國製，一種很幸福的鬆粉定妝感，就是選這支mac #134 專業大︽⊙＿⊙︽刷就對了,蜜粉,紅楓,特輯,海岸公路,老式,a
2016-07-31-22-17-00.txt,3,ps：關於︽⊙＿⊙︽南江休閒農業區團體一日遊行程，會依據當季農事體驗進行調整，實際行程請參考以下資,鄉親,南庄,村崗北路,安平港,林森,b
2016-07-31-22-17-00.txt,2,入龍喉出虎口，消災解厄增吉祥，大過年的就是要討過吉利！春節期間，︽⊙＿⊙︽還會有熱鬧的農特產和特色市集可以逛，觀光小火車或天鵝船可以搭，水陸二用鴨子船目前也是只有︽⊙＿⊙︽線可以嚐鮮,蓮池潭,遊民,私人,橘樹,蛋包,a
2016-07-31-22-17-00.txt,5,連我自己在編寫文章的過程我就忍不住下標再買了一組︽⊙＿⊙︽ pro以及十個刷頭,水養,clarisonic,程式,fendi,肌研白潤,b
2016-07-31-22-17-00.txt,4,趕緊趁熱吃，咬上一口，原來這餅是有層次的，作法好像和︽⊙＿⊙︽另一家出名的義豐蔥油餅差不,羅東,蔚藍,金湧泉,埔里酒廠,早市,a
2016-07-31-23-19-09.txt,1,對我而言，印象的富錦街是兩旁的︽⊙＿⊙︽　還有感覺很有味道的房子　不高卻感覺很有人,充電器,大樹,甜菜,奇葩,冠軍,b
2016-07-31-23-19-09.txt,2,"""牛排的部分也還算軟嫩 以這個價位來說算是 c/p 值挺高 比起︽⊙＿⊙︽市的眾多連鎖牛排館來說算好吃呦""",藤澤,勺子,司塔,台北,子鈞,d
2016-07-31-23-19-09.txt,3,"""①先以d色粉紅 beige 抹於上眼摺處，帶出女孩兒的柔軟微甜感。②以c色 beige beige 暈染於眼窩，打造出眼妝的高明度。③利用絲光b色打亮眉骨，加強提升全體的明亮感。④接著使用e色陰影 beige 由下眼頭往眼尾描繪出下眼影的部分。⑤再以中性咖啡f色描繪上︽⊙＿⊙︽與下︽⊙＿⊙︽後1/3，在眼尾處交接相連。⑥最後以閃亮a色微微打亮眼頭""",紅色,neom,眼線,蜜葳特,銀河,c
2016-07-31-23-19-09.txt,4,到了fundi的門口，覺得這間民宿地理位置好優呀，雖然說是在巷弄，但離大馬路口也沒幾步，而且近︽⊙＿⊙︽火車站，附近美食也不少，斜對面還有一間狠夯的早午餐店，電視有採訪過喔~可惜~我們隔天趕著下個行程，不然我一定會好好的朝聖它的~第一眼看到fundi的門面，就深深被吸引住，復古風的燈具和洗石子牆，以及別出心裁的時尚招牌，再加上木製大門，使得鋼硬偏冷的設計注入一點溫暖感，我喜歡這樣的簡約式設計,老五,城樓,樹林,三貂嶺,台南,e
2016-07-31-23-19-09.txt,5,"""這次分享我最愛的妝前保養霸主"""" ︽⊙＿⊙︽ c."""" 他們又有新產品了--晶透亮妍水凝""",增量,保濕噴霧,瑰柏翠,百款,bevy,e
2016-08-01-00-21-18.txt,3,而開架的話，媚比琳&amp;︽⊙＿⊙︽的，還有lavshuca~還有za的唇膏我也都蠻推,豆沙,integrate,倩碧水磁場,oversized,刷哥,b
2016-08-01-00-21-18.txt,2,板陶窯交趾剪黏工藝園區爬文說這是︽⊙＿⊙︽最具文化特色的園區，那當然一定要來看看囉~這兒的門票為100元，門票可以抵diy及兌換商品,車線,標示,嘉義,紅寶石,聲明,c
2016-08-01-00-21-18.txt,1,離開遇見晨曦，車子緩緩地經過一座橋，眼前就是剛剛騎腳踏車可以一覽的︽⊙＿⊙︽畔美麗風光,冬山河,人員,食神,奶粉,初學者,a
2016-08-01-00-21-18.txt,5,不過，眉膠跟︽⊙＿⊙︽膠的大小和包裝都一樣，這點倒是有點麻煩，因為會不小心拿錯,蜜葳特,冰珠,厚重感,neom,眼線,e
2016-08-01-00-21-18.txt,4,然後在下眼皮的部分加上臥蠶，使用的是我最愛的too cool for school的︽⊙＿⊙︽,法國名牌,乳狀,burberry,圓牌,眼線筆,e
2016-08-01-01-23-26.txt,1,旗山火車站算是︽⊙＿⊙︽上非常重要的一個地標，來到旗山當然也得來看看這棟結合了維多利亞和哥德復古式的建築喔,天使,穿鞋,旗山老街,團費,法義,c
2016-08-01-01-23-26.txt,2,如果餓了也可以在一樓優雅一隅中，享用英式穀倉內的輕食帕尼尼或︽⊙＿⊙︽經典美食。裡頭也有販售馬玉山的商品哊,施舒雅,燒烤,氣感,一條,頸部,b
2016-08-01-01-23-26.txt,3,食記∥ 高雄︽⊙＿⊙︽。parlare coffee怕喇咧咖啡 - 熊熊立體拉花茂盛少女心＆復古文藝工業,過路,新埔站,誠品綠園道,鳳山,雨勢,d
2016-08-01-01-23-26.txt,4,來到︽⊙＿⊙︽土庫，我們先吃了順天宮斜對面的怪人花枝鱔魚麵和紅龜莿殼粿，再到市場另一頭尋找噗友推薦的當歸鴨肉麵線，最後外帶古早味雙糕潤回車上當甜點,古道,龍井,士林,雲林,盛開,d
2016-08-01-01-23-26.txt,5,看完26色，最後當然一定也少不了黑色的︽⊙＿⊙︽，同樣是黑色，這個#superfly是溫柔一點，主要也不帶金屬感，呈現上也比較柔和些的霧黑色，反倒在最後結束在這樣的#superfly有點可惜，因為照道理說，應該也要有一支mac經典的黑金色，可惜這樣應該帶金屬感的黑金色，沒有在這次的mac持色煙燻︽⊙＿⊙︽出現,眼線筆,整盤,burberry,法國名牌,皮繩,a
2016-08-01-02-25-34.txt,1,"""這顆是目前︽⊙＿⊙︽樹齡最高的神木，今年已經2700歲了哦！它是屬於光武檜，因為位在""""香林國小""""不遠處，所以當時的縣長把它改名為""""︽⊙＿⊙︽香林神木""""""",男子,阿里山,膜炎,蔥花,圍觀,b
2016-08-01-02-25-34.txt,2,這張在︽⊙＿⊙︽海境渡假民宿跟夢幻海景大浴缸的合照，在facebook被狂讚與轉寄,嬌蘭,誘光,墾丁,膳食,面光,c
2016-08-01-02-25-34.txt,3,沒想到這次從︽⊙＿⊙︽出來之後便下起大雨，雨勢又急又快，於是便進來喝個下午茶順便避避雨,北海岸,市口,清安豆腐街,花蓮扁食,松樹,c
2016-08-01-02-25-34.txt,4,"""不過，直到出發的前一兩天我才收到體驗的流程，那個最吸引我過去的spa按摩，竟然不知道怎樣被取消了，雖然我的心中在滴血，但是答應了還是要出席，不能隨便放鳥不去啊～ 所以這天我跟妹妹一塊出發到︽⊙＿⊙︽的novotel，宸宸聽到有住飯店這樣的好事，央求我們帶他去，所以最後我、妹妹、宸宸還有三個月大的流星雨就一塊出門了""",桃園機場,中山北路,流程,梧棲,行駛,a
2016-08-01-02-25-34.txt,5,花東的海味：路邊現殺海膽、阿美族燻烤飛魚、新社噶瑪蘭野生龍蝦、︽⊙＿⊙︽旗魚大,台商,龍潭,社口村,容貌,成功,e
2016-08-01-03-27-45.txt,2,多株的玫瑰花，嬌粉、鵝黃、粉白、紫艷、深紅…，各色各樣的玫瑰同時綻放，邀請旅人感受屬於︽⊙＿⊙︽的爛漫,黏貼,春日,都一,小妹,建築師,b
2016-08-01-03-27-45.txt,1,現在就帶著輕便衣物、運動鞋及泳衣，來︽⊙＿⊙︽老爺享受一場溫泉美食紓壓養生之旅吧,表格,瓷磚,北投,鐵鍋,護色,c
2016-08-01-03-27-45.txt,4,客廳舒服溫馨，書櫃都是他們從以前到現在買的書，保存十分良好，覺得與其放著生灰塵，不如就擺在客廳跟住客們分享，沙發上還有粉紅熊熊和藍色龍貓，牆上掛有︽⊙＿⊙︽的觀光地圖和民宿入住須,花蓮,國宴,石牌,后里,小遊,a
2016-08-01-03-27-45.txt,3,點多，最有名的甘蔗清冰已經賣光光，然後就在我們猶豫該不該點冰淇淋來吃時，︽⊙＿⊙︽淇淋也賣光,外層,芋頭冰,桃米生態村,國姓,人潮,b
2016-08-01-03-27-45.txt,5,唯一要額外補充的是，出草對於生於和平或是沒有這樣傳統的我們會太過於暴力血腥，但是對於賽德克族來說，這是他們的傳統，有能力保護族人的傳統與象徵，雖然出草的當下抱著殺戮之心，在出草後就是朋友，他們會照顧、祭拜頭顱，不管身前的仇恨，在死後他們在︽⊙＿⊙︽的那端就是一起喝酒歡唱的好朋友，這稍微能夠解是在上集最後小孩子所做的事情的解釋,彩虹橋,木造,夕遊出張所,台南藝術大學,水巷,a
2016-08-01-04-29-55.txt,2,這裡的每個房間都有不同的設計主題，沒有過多的裝飾，讓住在這裡的人能更輕易的融入放鬆，唯一相同的是都有一大片景觀窗，有些面向火車站的方法，有些面向︽⊙＿⊙︽的方向。不管面向哪裡？肯定都有不同的驚喜體驗,羅東夜市,跟鞋,版子,踝靴,回教徒,a
2016-08-01-04-29-55.txt,1,而且可能因為好丘名字裡有個丘吧   我還以為它在哪的︽⊙＿⊙︽上  屬於交通很不便那,浴帽,山坡,母乳,化學性,包款,b
2016-08-01-04-29-55.txt,4,在東里家風哩，可以看到五、六十年代的懷舊風聚落，︽⊙＿⊙︽仔南北貨、日日春酒莊、山內時計店、英家布莊的招牌,河流,林默娘公園,寶瓶號,二林,水里,e
2016-08-01-04-29-55.txt,3,展出的藝術家作品，都與︽⊙＿⊙︽有著很深的地緣，或許在這住了很久一段時間，或許本身就是︽⊙＿⊙︽人，這系列是吳仲宗老師的陶藝作品，現在聽說在大陸很火紅，他的創作皆以夫人為發想，福態圓潤的身型，嘴角微揚相當討喜,三芝,交趾,蘇澳,金門旅遊,夏草,a
2016-08-01-04-29-55.txt,5,。由於原本的︽⊙＿⊙︽夜市要進行市地重劃，所以才有計畫性的遷移。 2009年選定現在的位置，因新地點就在人文公園旁故取名人文公園夜市，於隔年的1月9日開幕,斗六,板橋車站,臭臭,雙溪,行駛,a
2016-08-01-05-32-05.txt,1,"""原本還以為是︽⊙＿⊙︽限定商品，結果好像就是特別推出的收納禮物盒，雖然你會心想這東西到底能幹嘛...，而且agnes b.實在做好多這種很多都只能""""擺""""的東西，不過對我來說，就是把這些東西融入生活，作為一些生活的小點綴，也希望不僅僅只是提升自己在穿搭上的質感，更同時能夠增加一些居家環境的生活品味，而它的加購價600元，對我來說就是還能夠負擔的，所以就當作買一個裝飾品，給自己生活一些調劑""",玩家,cafe,紅感,理論,高領,b
2016-08-01-05-32-05.txt,2,草本淨涼洗髮乳75ml+草本淨涼潤髮乳75ml+玫瑰皇后︽⊙＿⊙︽75ml+2014普羅旺斯tote,文社,腳椅,沐浴膠,蒸餃,美術,c
2016-08-01-05-32-05.txt,3,超酷的，這裡居然有鹽酥雞！在︽⊙＿⊙︽這邊吃到鹽酥雞就跟在新訓中心裡頭吃麥當勞沒兩樣呀！立馬買了一份來吃,淡水漁人碼頭,達仁,電線桿,綠色隧道,距離,b
2016-08-01-05-32-05.txt,4,"最主要都是強調緊緻潤澤的效果~她的滲透力很好, 我個人很推薦剛要開始接觸精油保養的女孩們先從︽⊙＿⊙︽緻芳香精露開始入",盛夏,氣墊粉餅,vaseline,蜜糖,百妍極,e
2016-08-01-05-32-05.txt,5,因為fan娘的五官不是很深的那一種，尤其是眼窩的部分，所以︽⊙＿⊙︽一直是我很喜,眼線,高潮,全能,neom,蜜葳特,a
2016-08-01-06-34-12.txt,3,當然大家也可依造自已喜歡的風格︽⊙＿⊙︽甲師討論。露這次是︽⊙＿⊙︽甲師薇雅合作的,哈摩尼韓食堂,和美,羊角,大埤,歐爸,b
2016-08-01-06-34-12.txt,1,再來，我準備越過這座小橋，來到夢幻湖的另外一端，再多多欣賞不同角度的︽⊙＿⊙︽水,雲山,阿湯哥,日常用品,靜電,圖樣,a
2016-08-01-06-34-12.txt,2,"""明湖水漾會館前面有蠻大的草坪!今天有""""︽⊙＿⊙︽樂活產業聯盟成立暨幸福巴士啟動記者會""",頭屋,氣色,格子窗,世紀,水瓢,a
2016-08-01-06-34-12.txt,5,明月星空還備有腳踏車可以借～一早起床在田園間騎腳踏車，想到的畫面就是︽⊙＿⊙︽武阿xd,遊程,得安村,小館,黑翅螢,金城,e
2016-08-01-06-34-12.txt,4,這次寄來的︽⊙＿⊙︽總共有五件:分別是多酚煥采潔顏露、微晶煥采去角質露、水凝煥采晶露、平衡煥采調理乳、喬沛詩chap-ex袪痘乳膏，上面都有一個紅底白色的加號可供辨認,全智賢,保養品,戀愛魔鏡,cosme,下巴,b
2016-08-01-07-36-20.txt,1,接著到達︽⊙＿⊙︽國小對面的水族館，這家不僅只有水族還有奇珍異獸，門口看到正在蛻皮的變色龍，上頭還有燈光照射，老板說應為他們需要曬太陽，蛻皮後才會長大,酒水,上唇,專家,三民,玩伴,d
2016-08-01-07-36-20.txt,2,下一場展覽的內容我就沒仔細問了，不過這個場館的展覽，人比︽⊙＿⊙︽當時少太多了，我曾經在博物館工作過，很知道博物館真的要人少少的參觀才是一種享受,經絡,華山,機動性,節省,行李箱,b
2016-08-01-07-36-20.txt,3,而寶拉珍選，就只要一瓶抗老化柔膚2%水楊酸︽⊙＿⊙︽就完成了去角質及保濕的動作,黑珍珠,身體乳,於剛,sisley,超抗暈,b
2016-08-01-07-36-20.txt,4,今年的台東綠島蘭嶼遊，因為文子出門後又繞回家拿東西，錯過了早上台北飛台東的班機，在計劃趕不上變化的情況下，我們決定先去︽⊙＿⊙︽對面的富錦街綠色隧道拍照殺時間,行程表,豐濱,烤鮮蚵,松山機場,車水,d
2016-08-01-07-36-20.txt,5,"另外南環也有︽⊙＿⊙︽的行程,我們這次選擇的︽⊙＿⊙︽直接請教練將︽⊙＿⊙︽跟立槳sup搬到時裡沙",獨木舟,新月廣場,童玩,小鴨,三峽老街,a
2016-08-01-08-38-29.txt,1,︽⊙＿⊙︽其實就是遊明山所建，所以如果入住明山的飯店~就等於助在︽⊙＿⊙︽內唷,綁繩,妖怪村,酸度,買的,籃子,b
2016-08-01-08-38-29.txt,3,"""和bb︽⊙＿⊙︽一樣都附上一支半月形蜜粉刷 有點兒微微的弧度可以順著臉龐的立體線條均勻上""",jurlique,魔鏡,蜜粉餅,clarins,鐵盒,c
2016-08-01-08-38-29.txt,2,︽⊙＿⊙︽，絡繹不絕的遊艇載著遊客忙碌穿梭，好不熱鬧；在梅花湖，卻能悠然雲水間,日月潭,修女,洗衣服,玉兔,公關,a
2016-08-01-08-38-29.txt,4,"當天迷戀的是它的經典雋永,但是在新任創意總監jonathan anderson的領導之下,︽⊙＿⊙︽今年有了不同的面",蜜葳特,loewe,竹下,品木宣言,賽車,b
2016-08-01-08-38-29.txt,5,︽⊙＿⊙︽ nt.3650 ︽⊙＿⊙︽芯 nt.2450 - 剛撲上去的定妝時刻最,aesop,淨化,安美諾,宛若,蜜粉,e
2016-08-01-09-40-39.txt,1,1028這個牌子其實我一直都很喜歡，每次看到小屈在大特價時總是會大搜刮，這些是老虎狗這次的小小戰利品~除了好用的cc保濕霜外，另外卸妝和︽⊙＿⊙︽也都很好用喲,睫毛膏,紫禁城,動能,殖民,代價,a
2016-08-01-09-40-39.txt,2,這支也可以拿來做腮紅刷跟︽⊙＿⊙︽刷，當腮紅刷非常讚，用點的方式上腮紅會變的很自然不會有界,蜜粉,電視機,酸酸,白兔,老佛爺,a
2016-08-01-09-40-39.txt,4,由於城堡位在︽⊙＿⊙︽，一開始水管線並沒有連通到，金車每天運水上山就為了讓遊客能享受一杯咖,二食,橋頭,錦記,山上,水草,d
2016-08-01-09-40-39.txt,5,好啦～除了大學池外，還有︽⊙＿⊙︽的瞭望台與天文台、筠屋、竹類標本園、巨石、子定亭、森林生態展示中心...等,龍山寺,鳳凰山,雪橇,品皇咖啡,記餅,b
2016-08-01-09-40-39.txt,3,由於今日的風浪還是很大，加上是逆風浪方向的緣故，所以感覺很像坐海盜船，也讓船上不時驚叫連連；當然也有不少人又暈船了！就在這種情形下，約莫11:30到達︽⊙＿⊙︽。而船在此停留兩個小時，因此便租了摩托車來個快速走馬看花之旅,望安,蘭城晶英酒店,展館,樹葉,泰武,a
2016-08-01-10-42-46.txt,2,附近有百貨公司、商圈跟美食店家聚集，home hotel大安就位在忠孝︽⊙＿⊙︽捷運站,復興,兩格,烤魚,光燦,糖漿,a
2016-08-01-10-42-46.txt,1,喔，對了，還有一個秘密，那就是：這裡看︽⊙＿⊙︽島真的超超超級清楚的啦！光是這一些介紹，就很值得你去看一看了，是吧？,掩面,龜山,記號,空瓶,女伶,b
2016-08-01-10-42-46.txt,3,據說這天︽⊙＿⊙︽香9:10左右營業　我9:20到　最後10點才領到餐　非常誇,宜蘭,場館,白河,新莊,味香,a
2016-08-01-10-42-46.txt,4,來台南就是吃飽飽睡好好的快樂旅行阿，推薦給大家︽⊙＿⊙︽區的優質民宿-莫非工寓,東海大學,盛產,金龍山,woolloomooloo,安平,e
2016-08-01-10-42-46.txt,5,來到鹽山這邊，白白的︽⊙＿⊙︽插滿了鯉魚旗，加上藍色的天空，快門真是按不停~~,水草,古風,錦記,橋頭,山上,e
2016-08-01-11-44-53.txt,1,平面道路可從︽⊙＿⊙︽文心南路往大里方向→接德芳路三段看到國光路右轉直走→接中興路一段直走→接中正路直走→看到921地震教育園區左轉指標前進即可到達,台中市,山腰,拍景,含油,耳罩,a
